,area_name,area_code,job_exp,all,fulltime,parttime,highend,temp
0,台北市中正區,6001001001,1,115,80,32,2,1
1,台北市中正區,6001001001,3,24,22,2,0,0
2,台北市中正區,6001001001,5,3,3,0,0,0
3,台北市中正區,6001001001,10,2,2,0,0,0
4,台北市中正區,6001001001,99,0,0,0,0,0
5,台北市大同區,6001001002,1,35,20,15,0,0
6,台北市大同區,6001001002,3,18,18,0,0,0
7,台北市大同區,6001001002,5,9,9,0,0,0
8,台北市大同區,6001001002,10,7,7,0,0,0
9,台北市大同區,6001001002,99,0,0,0,0,0
10,台北市中山區,6001001003,1,144,109,31,0,4
11,台北市中山區,6001001003,3,71,67,4,0,0
12,台北市中山區,6001001003,5,21,20,1,0,0
13,台北市中山區,6001001003,10,13,13,0,0,0
14,台北市中山區,6001001003,99,1,1,0,0,0
15,台北市松山區,6001001004,1,79,56,22,0,1
16,台北市松山區,6001001004,3,19,18,1,0,0
17,台北市松山區,6001001004,5,15,15,0,0,0
18,台北市松山區,6001001004,10,9,8,1,0,0
19,台北市松山區,6001001004,99,2,2,0,0,0
20,台北市大安區,6001001005,1,134,94,39,0,1
21,台北市大安區,6001001005,3,62,61,1,0,0
22,台北市大安區,6001001005,5,17,17,0,0,0
23,台北市大安區,6001001005,10,20,20,0,0,0
24,台北市大安區,6001001005,99,2,2,0,0,0
25,台北市萬華區,6001001006,1,42,35,7,0,0
26,台北市萬華區,6001001006,3,13,13,0,0,0
27,台北市萬華區,6001001006,5,9,8,1,0,0
28,台北市萬華區,6001001006,10,1,1,0,0,0
29,台北市萬華區,6001001006,99,1,1,0,0,0
30,台北市信義區,6001001007,1,72,61,10,0,1
31,台北市信義區,6001001007,3,38,37,1,0,0
32,台北市信義區,6001001007,5,15,15,0,0,0
33,台北市信義區,6001001007,10,8,8,0,0,0
34,台北市信義區,6001001007,99,1,1,0,0,0
35,台北市士林區,6001001008,1,47,33,14,0,0
36,台北市士林區,6001001008,3,13,13,0,0,0
37,台北市士林區,6001001008,5,7,7,0,0,0
38,台北市士林區,6001001008,10,1,1,0,0,0
39,台北市士林區,6001001008,99,0,0,0,0,0
40,台北市北投區,6001001009,1,17,15,2,0,0
41,台北市北投區,6001001009,3,3,3,0,0,0
42,台北市北投區,6001001009,5,3,3,0,0,0
43,台北市北投區,6001001009,10,0,0,0,0,0
44,台北市北投區,6001001009,99,0,0,0,0,0
45,台北市內湖區,6001001010,1,140,102,35,0,3
46,台北市內湖區,6001001010,3,79,77,0,0,2
47,台北市內湖區,6001001010,5,49,48,1,0,0
48,台北市內湖區,6001001010,10,17,15,0,0,2
49,台北市內湖區,6001001010,99,4,3,0,1,0
50,台北市南港區,6001001011,1,48,41,6,0,1
51,台北市南港區,6001001011,3,13,12,1,0,0
52,台北市南港區,6001001011,5,16,16,0,0,0
53,台北市南港區,6001001011,10,2,2,0,0,0
54,台北市南港區,6001001011,99,0,0,0,0,0
55,台北市文山區,6001001012,1,31,26,5,0,0
56,台北市文山區,6001001012,3,6,6,0,0,0
57,台北市文山區,6001001012,5,1,1,0,0,0
58,台北市文山區,6001001012,10,1,1,0,0,0
59,台北市文山區,6001001012,99,0,0,0,0,0
60,新北市萬里區,6001002001,1,0,0,0,0,0
61,新北市萬里區,6001002001,3,0,0,0,0,0
62,新北市萬里區,6001002001,5,0,0,0,0,0
